x,y,R,G,B,,
11,5,255,255,255,,
12,5,255,255,255,,
13,5,255,255,255,,
14,5,255,255,255,,
15,5,255,255,255,,
16,5,255,255,255,,
17,5,255,255,255,,
18,5,255,255,255,,
19,5,255,255,255,,
20,5,255,255,255,,
21,5,255,255,255,,
22,5,255,255,255,,
23,5,255,255,255,,
24,5,255,255,255,,
25,5,255,255,255,,
26,5,255,255,255,,
27,5,255,255,255,,
28,5,255,255,255,,
0,6,255,255,255,,
1,6,255,255,255,,
2,6,255,255,255,,
3,6,255,255,255,,
4,6,255,255,255,,
5,6,255,255,255,,
6,6,255,255,255,,
7,6,255,255,255,,
8,6,255,255,255,,
9,6,255,255,255,,
10,6,255,255,255,,
11,6,255,255,255,,
12,6,255,255,255,,
13,6,255,255,255,,
14,6,255,255,255,,
15,6,255,255,255,,
16,6,255,255,255,,
17,6,255,255,255,,
18,6,255,255,255,,
19,6,255,255,255,,
20,6,255,255,255,,
21,6,255,255,255,,
22,6,255,255,255,,
23,6,255,255,255,,
24,6,255,255,255,,
25,6,255,255,255,,
26,6,255,255,255,,
27,6,255,255,255,,
28,6,255,255,255,,
0,7,255,255,255,,
1,7,255,255,255,,
2,7,255,255,255,,
3,7,255,255,255,,
4,7,255,255,255,,
5,7,255,255,255,,
6,7,255,255,255,,
7,7,219,182,102,,
8,7,0,0,0,,
9,7,0,0,0,,
10,7,102,182,219,,
11,7,255,255,255,,
12,7,255,255,255,,
13,7,255,255,255,,
14,7,255,255,255,,
15,7,255,255,255,,
16,7,255,255,255,,
17,7,255,255,255,,
18,7,255,255,255,,
19,7,255,255,255,,
20,7,255,255,255,,
21,7,255,255,255,,
22,7,255,255,255,,
23,7,255,255,255,,
24,7,255,255,255,,
25,7,255,255,255,,
26,7,255,255,255,,
27,7,255,255,255,,
28,7,255,255,255,,
0,8,255,255,255,,
1,8,255,255,255,,
2,8,255,255,255,,
3,8,255,255,255,,
4,8,255,255,255,,
5,8,255,255,255,,
6,8,255,255,255,,
7,8,219,144,58,,
8,8,0,0,0,,
9,8,0,0,0,,
10,8,58,144,219,,
11,8,255,255,255,,
12,8,255,255,255,,
13,8,255,255,255,,
14,8,255,255,255,,
15,8,255,255,255,,
16,8,255,255,255,,
17,8,255,255,255,,
18,8,255,255,255,,
19,8,255,255,255,,
20,8,255,255,255,,
21,8,255,255,255,,
22,8,255,255,255,,
23,8,255,255,255,,
24,8,255,255,255,,
25,8,255,255,255,,
26,8,255,255,255,,
27,8,255,255,255,,
28,8,255,255,255,,
0,9,255,255,255,,
1,9,255,255,255,,
2,9,255,255,255,,
3,9,255,255,255,,
4,9,255,255,255,,
5,9,255,255,255,,
6,9,255,255,255,,
7,9,219,144,58,,
8,9,0,0,0,,
9,9,0,0,0,,
10,9,58,144,219,,
11,9,255,255,255,,
12,9,255,255,255,,
13,9,255,255,255,,
14,9,255,255,255,,
15,9,255,255,255,,
16,9,255,255,255,,
17,9,255,255,255,,
18,9,255,255,255,,
19,9,255,255,255,,
20,9,255,255,255,,
21,9,255,255,255,,
22,9,255,255,255,,
23,9,255,255,255,,
24,9,255,255,255,,
25,9,255,255,255,,
26,9,255,255,255,,
27,9,255,255,255,,
28,9,255,255,255,,
0,10,255,255,255,,
1,10,255,255,255,,
2,10,255,255,255,,
3,10,255,255,255,,
4,10,255,255,255,,
5,10,255,255,255,,
6,10,255,255,255,,
7,10,219,144,58,,
8,10,0,0,0,,
9,10,0,0,0,,
10,10,58,144,219,,
11,10,255,255,255,,
12,10,255,255,255,,
13,10,255,255,255,,
14,10,255,255,255,,
15,10,255,255,255,,
16,10,255,255,255,,
17,10,255,255,255,,
18,10,255,255,255,,
19,10,255,255,255,,
20,10,255,255,255,,
21,10,255,255,255,,
22,10,255,255,255,,
23,10,255,255,255,,
24,10,255,255,255,,
25,10,255,255,255,,
26,10,255,255,255,,
27,10,255,255,255,,
28,10,255,255,255,,
0,11,255,255,255,,
1,11,255,255,255,,
2,11,255,255,255,,
3,11,255,255,255,,
4,11,255,255,255,,
5,11,255,255,255,,
6,11,255,255,255,,
7,11,219,144,58,,
8,11,0,0,0,,
9,11,0,0,0,,
10,11,58,144,219,,
11,11,255,255,255,,
12,11,255,255,255,,
13,11,255,255,255,,
14,11,255,255,255,,
15,11,255,255,255,,
16,11,255,255,255,,
17,11,255,255,255,,
18,11,255,255,255,,
19,11,255,255,255,,
20,11,255,255,255,,
21,11,255,255,255,,
22,11,255,255,255,,
23,11,255,255,255,,
24,11,255,255,255,,
25,11,255,255,255,,
26,11,255,255,255,,
27,11,255,255,255,,
28,11,255,255,255,,
0,12,255,255,255,,
1,12,255,255,255,,
2,12,255,255,255,,
3,12,255,255,255,,
4,12,255,255,255,,
5,12,255,255,255,,
6,12,255,255,255,,
7,12,219,144,58,,
8,12,0,0,0,,
9,12,0,0,0,,
10,12,58,144,219,,
11,12,219,182,102,,
12,12,58,58,0,,
13,12,0,0,0,,
14,12,0,0,0,,
15,12,58,58,102,,
16,12,182,219,255,,
17,12,255,255,255,,
18,12,255,255,255,,
19,12,255,255,255,,
20,12,255,255,255,,
21,12,255,255,255,,
22,12,255,255,255,,
23,12,255,255,255,,
24,12,255,255,255,,
25,12,255,255,255,,
26,12,255,255,255,,
27,12,255,255,255,,
28,12,255,255,255,,
0,13,255,255,255,,
1,13,255,255,255,,
2,13,255,255,255,,
3,13,255,255,255,,
4,13,255,255,255,,
5,13,255,255,255,,
6,13,255,255,255,,
7,13,219,144,58,,
8,13,0,0,0,,
9,13,0,0,0,,
10,13,0,0,0,,
11,13,0,0,0,,
12,13,0,0,0,,
13,13,0,0,0,,
14,13,0,0,0,,
15,13,0,0,0,,
16,13,0,0,58,,
17,13,144,219,255,,
18,13,255,255,255,,
19,13,255,255,255,,
20,13,255,255,255,,
21,13,255,255,255,,
22,13,255,255,255,,
23,13,255,255,255,,
24,13,255,255,255,,
25,13,255,255,255,,
26,13,255,255,255,,
27,13,255,255,255,,
28,13,255,255,255,,
0,14,255,255,255,,
1,14,255,255,255,,
2,14,255,255,255,,
3,14,255,255,255,,
4,14,255,255,255,,
5,14,255,255,255,,
6,14,255,255,255,,
7,14,219,144,58,,
8,14,0,0,0,,
9,14,0,0,0,,
10,14,0,0,0,,
11,14,0,102,182,,
12,14,219,255,255,,
13,14,255,255,219,,
14,14,144,58,0,,
15,14,0,0,0,,
16,14,0,0,0,,
17,14,0,102,182,,
18,14,255,255,255,,
19,14,255,255,255,,
20,14,255,255,255,,
21,14,255,255,255,,
22,14,255,255,255,,
23,14,255,255,255,,
24,14,255,255,255,,
25,14,255,255,255,,
26,14,255,255,255,,
27,14,255,255,255,,
28,14,255,255,255,,
0,15,255,255,255,,
1,15,255,255,255,,
2,15,255,255,255,,
3,15,255,255,255,,
4,15,255,255,255,,
5,15,255,255,255,,
6,15,255,255,255,,
7,15,219,144,58,,
8,15,0,0,0,,
9,15,0,0,0,,
10,15,0,58,144,,
11,15,219,255,255,,
12,15,255,255,255,,
13,15,255,255,255,,
14,15,255,219,144,,
15,15,58,0,0,,
16,15,0,0,0,,
17,15,0,0,102,,
18,15,182,255,255,,
19,15,255,255,255,,
20,15,255,255,255,,
21,15,255,255,255,,
22,15,255,255,255,,
23,15,255,255,255,,
24,15,255,255,255,,
25,15,255,255,255,,
26,15,255,255,255,,
27,15,255,255,255,,
28,15,255,255,255,,
0,16,255,255,255,,
1,16,255,255,255,,
2,16,255,255,255,,
3,16,255,255,255,,
4,16,255,255,255,,
5,16,255,255,255,,
6,16,255,255,255,,
7,16,219,144,58,,
8,16,0,0,0,,
9,16,0,0,0,,
10,16,58,144,219,,
11,16,255,255,255,,
12,16,255,255,255,,
13,16,255,255,255,,
14,16,255,255,182,,
15,16,102,0,0,,
16,16,0,0,0,,
17,16,0,0,58,,
18,16,144,219,255,,
19,16,255,255,255,,
